Parameter	Branch	Posterior Mean	Posterior Variance	a_post	b_post
M	NODE_360	0.0395741	0.000121205	12.9212	326.507
R/theta	NODE_361	0.678565	0.0380126	12.1131	17.8511
1/delta	NODE_361	1.12048	0.103647	12.1131	10.8106
nu	NODE_361	1.16824	0.0835501	16.335	13.9825
M	NODE_361	0.0479117	0.000146539	15.665	326.956
R/theta	NODE_362	0.72067	0.0317836	16.3407	22.6743
1/delta	NODE_362	0.914274	0.0511544	16.3407	17.8728
nu	NODE_362	0.466509	0.00958344	22.709	48.6786
M	NODE_362	0.077587	0.00023802	25.291	325.969
R/theta	NODE_363	0.792938	0.0467188	13.4582	16.9726
1/delta	NODE_363	0.937092	0.0652495	13.4582	14.3617
nu	NODE_363	2.4846	0.0790559	78.0872	31.4284
M	NODE_363	0.0426173	0.000130544	13.9128	326.46
R/theta	NODE_364	0.904618	0.0602133	13.5906	15.0236
1/delta	NODE_364	1.0267	0.0775622	13.5906	13.2371
nu	NODE_364	1.23443	0.0476547	31.9763	25.9037
M	NODE_364	0.0306894	9.39615e-05	10.0237	326.617
R/theta	NODE_365	0.790932	0.0443329	14.1108	17.8408
1/delta	NODE_365	1.16051	0.0954433	14.1108	12.1592
nu	NODE_365	1.473	0.0714781	30.3553	20.6078
M	NODE_365	0.0478772	0.000146518	15.6447	326.767
R/theta	NODE_366	0.751824	0.0177621	31.8227	42.3273
1/delta	NODE_366	0.250539	0.00197249	31.8227	127.017
nu	NODE_366	1.16157	0.00198597	679.392	584.889
M	NODE_366	0.207927	0.00066917	64.6081	310.724
R/theta	NODE_367	0.770118	0.0468069	12.6708	16.4531
1/delta	NODE_367	0.753955	0.0448627	12.6708	16.8058
nu	NODE_367	0.394216	0.00907573	17.1233	43.4363
M	NODE_367	0.0394847	0.000121075	12.8767	326.118
R/theta	NODE_368	0.74638	0.0467264	11.9222	15.9734
1/delta	NODE_368	1.11493	0.104264	11.9222	10.6933
nu	NODE_368	0.901195	0.0672228	12.0815	13.4061
M	NODE_368	0.0364512	0.000111481	11.9185	326.972
R/theta	NODE_369	0.570168	0.0123327	26.3601	46.2321
1/delta	NODE_369	1.21694	0.056181	26.3601	21.661
nu	NODE_369	0.679104	0.0100923	45.6966	67.2896
M	NODE_369	0.222171	0.000682679	72.3034	325.44
R/theta	NODE_370	0.753992	0.0472491	12.0321	15.9578
1/delta	NODE_370	1.05606	0.0926915	12.0321	11.3933
nu	NODE_370	0.778406	0.0462091	13.1125	16.8453
M	NODE_370	0.0363673	0.000111258	11.8875	326.874
R/theta	NODE_371	0.869515	0.0544504	13.8852	15.9689
1/delta	NODE_371	1.1892	0.101849	13.8852	11.6761
nu	NODE_371	1.21145	0.0664376	22.0902	18.2345
M	NODE_371	0.0364397	0.000111493	11.9098	326.835
R/theta	NODE_372	0.747055	0.0467793	11.9303	15.9698
1/delta	NODE_372	1.11534	0.104272	11.9303	10.6965
nu	NODE_372	0.900666	0.0671038	12.0887	13.422
M	NODE_372	0.0364291	0.000111414	11.9113	326.972
R/theta	NODE_373	0.852554	0.0533813	13.6162	15.971
1/delta	NODE_373	0.844402	0.0523654	13.6162	16.1252
nu	NODE_373	0.600744	0.0149839	24.0854	40.0925
M	NODE_373	0.0365241	0.000111964	11.9146	326.213
R/theta	NODE_374	0.62305	0.0144539	26.8572	43.106
1/delta	NODE_374	1.32234	0.0651062	26.8572	20.3104
nu	NODE_374	0.493553	0.00813712	29.9362	60.6545
M	NODE_374	0.202881	0.000623043	66.0638	325.629
R/theta	NODE_375	0.464277	0.00442296	48.7351	104.97
1/delta	NODE_375	0.351268	0.00253184	48.7351	138.74
nu	NODE_375	1.54581	0.00240599	993.163	642.486
M	NODE_375	0.614185	0.00198709	189.837	309.087
R/theta	NODE_376	0.895791	0.0396827	20.2215	22.5739
1/delta	NODE_376	1.00546	0.0499937	20.2215	20.1117
nu	NODE_376	2.02603	0.0339496	120.909	59.6776
M	NODE_376	0.0770486	0.000236595	25.0914	325.657
R/theta	NODE_377	1.0206	0.0455477	22.869	22.4073
1/delta	NODE_377	1.05557	0.0487222	22.869	21.6651
nu	NODE_377	1.42983	0.0212427	96.2405	67.3091
M	NODE_377	0.0760803	0.000233777	24.7595	325.44
R/theta	NODE_378	0.0267354	7.73908e-06	92.3598	3454.59
1/delta	NODE_378	0.0781036	6.60439e-05	92.3653	1182.6
nu	NODE_378	0.0721732	1.25065e-05	416.5	5770.84
M	NODE_378	43.4669	0.266202	7097.5	163.285
R/theta	NODE_379	0.471297	0.00644025	34.4895	73.18
1/delta	NODE_379	0.581765	0.00981313	34.4895	59.2843
nu	NODE_379	1.51849	0.00602271	382.855	252.128
M	NODE_379	0.393975	0.00123046	126.145	320.185
R/theta	NODE_380	0.929065	0.0550126	15.6902	16.8882
1/delta	NODE_380	1.16101	0.0859091	15.6902	13.5143
nu	NODE_380	0.779577	0.0285919	21.2557	27.2657
M	NODE_380	0.0420858	0.000128869	13.7443	326.578
R/theta	NODE_381	0.985185	0.0188941	51.3698	52.1423
1/delta	NODE_381	1.07408	0.0224578	51.3699	47.8267
nu	NODE_381	1.2708	0.00648904	248.872	195.838
M	NODE_381	0.261441	0.00081247	84.1279	321.785
R/theta	NODE_382	0.669933	0.0356189	12.6003	18.8084
1/delta	NODE_382	1.16049	0.106882	12.6003	10.8577
nu	NODE_382	0.874133	0.0614978	12.425	14.2141
M	NODE_382	0.0537546	0.000164413	17.575	326.949
R/theta	NODE_383	0.826934	0.0461779	14.8084	17.9076
1/delta	NODE_383	0.92268	0.0574903	14.8084	16.0493
nu	NODE_383	1.86863	0.0470454	74.2212	39.7196
M	NODE_383	0.0483681	0.000148267	15.7788	326.224
R/theta	NODE_384	1.46111	0.0418662	50.9923	34.8996
1/delta	NODE_384	1.13063	0.0250689	50.9923	45.1008
nu	NODE_384	0.867625	0.0047555	158.295	182.447
M	NODE_384	0.154283	0.000478891	49.7046	322.166
R/theta	NODE_385	0.850993	0.0335287	21.5991	25.381
1/delta	NODE_385	1.39474	0.0900634	21.5991	15.4862
nu	NODE_385	0.84726	0.022928	31.3088	36.953
M	NODE_385	0.0940575	0.000288252	30.6912	326.303
R/theta	NODE_386	1.38655	0.0478225	40.2011	28.9937
1/delta	NODE_386	0.964747	0.023152	40.2011	41.6701
nu	NODE_386	1.24455	0.00751574	206.087	165.592
M	NODE_386	0.117508	0.000364202	37.9134	322.645
R/theta	NODE_387	0.550053	0.019749	15.3202	27.8522
1/delta	NODE_387	1.28103	0.107115	15.3202	11.9593
nu	NODE_387	0.936494	0.047717	18.3796	19.626
M	NODE_387	0.108999	0.000333539	35.6204	326.795
R/theta	NODE_388	0.766054	0.0452654	12.9644	16.9236
1/delta	NODE_388	1.10018	0.0933628	12.9644	11.7839
nu	NODE_388	1.18233	0.0630099	22.1854	18.7642
M	NODE_388	0.0422698	0.000129337	13.8146	326.82
R/theta	NODE_389	0.758349	0.0269116	21.3697	28.1793
1/delta	NODE_389	1.21281	0.0688312	21.3698	17.62
nu	NODE_389	0.689849	0.0145425	32.7241	47.4367
M	NODE_389	0.111274	0.000341327	36.2759	326.005
R/theta	NODE_390	0.849921	0.037187	19.4252	22.8553
1/delta	NODE_390	1.23446	0.0784496	19.4252	15.7358
nu	NODE_390	1.29255	0.0338547	49.3485	38.1793
M	NODE_390	0.078621	0.000240971	25.6515	326.268
R/theta	NODE_391	1.02736	0.0509014	20.7357	20.1834
1/delta	NODE_391	0.42063	0.00853261	20.7357	49.2968
nu	NODE_391	0.613957	0.00302351	124.671	203.061
M	NODE_391	0.0632172	0.000196583	20.3294	321.58
R/theta	NODE_392	0.866871	0.0280779	26.7636	30.8738
1/delta	NODE_392	1.3808	0.0712388	26.7636	19.3827
nu	NODE_392	1.30751	0.0233084	73.3464	56.0962
M	NODE_392	0.127867	0.00039252	41.6536	325.758
R/theta	NODE_393	0.68082	0.0372014	12.4596	18.3009
1/delta	NODE_393	1.14391	0.105022	12.4596	10.8921
nu	NODE_393	0.93425	0.0649547	13.4374	14.3831
M	NODE_393	0.0506587	0.000154946	16.5626	326.944
R/theta	NODE_394	1.51873	0.0537099	42.9445	28.2765
1/delta	NODE_394	0.597743	0.00831998	42.9445	71.8444
nu	NODE_394	0.858742	0.00273629	269.503	313.834
M	NODE_394	0.114617	0.000359942	36.4974	318.431
R/theta	NODE_395	0.770119	0.0390668	15.1813	19.7129
1/delta	NODE_395	1.27513	0.107103	15.1813	11.9056
nu	NODE_395	0.91001	0.046999	17.6199	19.3623
M	NODE_395	0.0593021	0.000181461	19.3801	326.803
R/theta	NODE_396	1.59962	0.0498684	51.3107	32.0768
1/delta	NODE_396	0.61985	0.00748798	51.3107	82.7793
nu	NODE_396	0.981908	0.00267145	360.907	367.556
M	NODE_396	0.139138	0.000439055	44.0933	316.903
R/theta	NODE_397	0.666158	0.0307185	14.4462	21.6859
1/delta	NODE_397	1.21831	0.102745	14.4462	11.8576
nu	NODE_397	0.819975	0.0428714	15.6832	19.1264
M	NODE_397	0.0713469	0.000218313	23.3168	326.809
R/theta	NODE_398	0.733336	0.0410631	13.0965	17.8588
1/delta	NODE_398	1.13749	0.098796	13.0965	11.5135
nu	NODE_398	1.2801	0.0734183	22.3195	17.4357
M	NODE_398	0.0479734	0.000146772	15.6805	326.857
R/theta	NODE_399	0.700459	0.040331	12.1654	17.3677
1/delta	NODE_399	1.11752	0.102657	12.1654	10.886
nu	NODE_399	0.99626	0.069411	14.2994	14.3531
M	NODE_399	0.0449636	0.000137526	14.7006	326.945
R/theta	NODE_400	0.683689	0.0287743	16.2447	23.7603
1/delta	NODE_400	1.17062	0.0843572	16.2447	13.877
nu	NODE_400	1.01708	0.0350147	29.5433	29.0472
M	NODE_400	0.084087	0.000257519	27.4567	326.527
R/theta	NODE_401	1.18161	0.075855	18.4063	15.5773
1/delta	NODE_401	0.797657	0.0345673	18.4063	23.0755
nu	NODE_401	0.900749	0.0121332	66.87	74.2383
M	NODE_401	0.0342205	0.000105215	11.13	325.243
R/theta	NODE_402	0.660769	0.0149309	29.2424	44.2551
1/delta	NODE_402	0.670873	0.015391	29.2424	43.5886
nu	NODE_402	2.12906	0.0121649	372.621	175.017
M	NODE_402	0.212108	0.000657948	68.3787	322.377
R/theta	NODE_403	0.0992384	7.89801e-05	124.693	1256.5
1/delta	NODE_403	0.0700431	3.93449e-05	124.693	1780.23
nu	NODE_403	0.0331478	3.80695e-06	288.624	8707.19
M	NODE_403	34.5396	0.432808	2756.38	79.8034
R/theta	NODE_404	0.957443	0.0474823	19.3061	20.1642
1/delta	NODE_404	1.33033	0.0916689	19.3061	14.5123
nu	NODE_404	1.29688	0.0403152	41.7187	32.1685
M	NODE_404	0.0621291	0.000190324	20.2813	326.439
R/theta	NODE_405	0.566373	0.0193746	16.5566	29.2328
1/delta	NODE_405	1.26549	0.096726	16.5566	13.0832
nu	NODE_405	0.661068	0.0262874	16.6244	25.1477
M	NODE_405	0.117487	0.000359684	38.3756	326.638
R/theta	NODE_406	1.0302	0.0626573	16.9384	16.4418
1/delta	NODE_406	0.854142	0.0430713	16.9384	19.8309
nu	NODE_406	1.56344	0.0268182	91.1453	58.2979
M	NODE_406	0.0394685	0.000121182	12.8547	325.696
R/theta	NODE_407	0.819517	0.0498286	13.4784	16.4467
1/delta	NODE_407	1.09589	0.089104	13.4784	12.299
nu	NODE_407	1.3213	0.062048	28.1368	21.2948
M	NODE_407	0.0393672	0.000120482	12.8632	326.748
R/theta	NODE_408	0.790261	0.0468246	13.3373	16.877
1/delta	NODE_408	1.06199	0.0845614	13.3373	12.5588
nu	NODE_408	0.809803	0.0358779	18.2781	22.5711
M	NODE_408	0.0419999	0.000128554	13.7219	326.711
R/theta	NODE_409	0.615713	0.0280848	13.4985	21.9233
1/delta	NODE_409	0.830213	0.0510617	13.4985	16.259
nu	NODE_409	0.643141	0.0157826	26.2081	40.7501
M	NODE_409	0.0729379	0.000223602	23.7919	326.195
R/theta	NODE_410	0.681928	0.0392165	11.8579	17.3888
1/delta	NODE_410	1.07314	0.0971192	11.8579	11.0497
nu	NODE_410	1.40245	0.0925269	21.2573	15.1572
M	NODE_410	0.0450953	0.000137939	14.7427	326.922
R/theta	NODE_411	1.33789	0.054347	32.9357	24.6176
1/delta	NODE_411	0.181724	0.00100267	32.9357	181.24
nu	NODE_411	1.41406	0.0016611	1203.76	851.28
M	NODE_411	0.0964486	0.000318154	29.2385	303.151
R/theta	NODE_412	0.762853	0.0129154	45.0583	59.0655
1/delta	NODE_412	0.604737	0.00811631	45.0583	74.5089
nu	NODE_412	1.26639	0.00387365	414.015	326.925
M	NODE_412	0.308073	0.000968605	97.9853	318.059
R/theta	NODE_413	0.77164	0.044334	13.4305	17.4052
1/delta	NODE_413	1.18536	0.104618	13.4305	11.3304
nu	NODE_413	0.86022	0.052021	14.2246	16.536
M	NODE_413	0.0452008	0.000138278	14.7754	326.883
R/theta	NODE_414	2.05268	0.0772051	54.5753	26.5874
1/delta	NODE_414	0.233636	0.00100019	54.5754	233.591
nu	NODE_414	1.23935	0.00111807	1373.79	1108.48
M	NODE_414	0.112245	0.000379414	33.2065	295.839
R/theta	NODE_415	0.545335	0.0246218	12.0784	22.1485
1/delta	NODE_415	1.13928	0.107462	12.0784	10.6017
nu	NODE_415	0.830518	0.0641007	10.7606	12.9564
M	NODE_415	0.0741302	0.000226708	24.2394	326.985
R/theta	NODE_416	1.54382	0.058415	40.8008	26.4285
1/delta	NODE_416	1.2841	0.0404135	40.8008	31.7739
nu	NODE_416	1.42094	0.0121476	166.211	116.973
M	NODE_416	0.10119	0.00031229	32.7885	324.028
R/theta	NODE_417	0.661091	0.0174651	25.0237	37.8521
1/delta	NODE_417	1.31755	0.0693712	25.0239	18.9928
nu	NODE_417	0.450739	0.00831915	24.4214	54.1809
M	NODE_417	0.170584	0.000523566	55.5786	325.813
R/theta	NODE_418	0.760288	0.0490479	11.7852	15.5009
1/delta	NODE_418	1.11285	0.105085	11.7852	10.59
nu	NODE_418	0.932195	0.0722696	12.0242	12.8989
M	NODE_418	0.0335664	0.000102654	10.9758	326.986
R/theta	NODE_419	0.717079	0.037212	13.8182	19.2701
1/delta	NODE_419	1.21025	0.105998	13.8182	11.4177
nu	NODE_419	0.913858	0.0538675	15.5035	16.9649
M	NODE_419	0.0565864	0.000173116	18.4965	326.871
R/theta	NODE_420	0.814838	0.0376584	17.6312	21.6376
1/delta	NODE_420	1.18075	0.0790741	17.6312	14.9322
nu	NODE_420	0.957556	0.027973	32.7785	34.2314
M	NODE_420	0.0711486	0.000217993	23.2215	326.38
R/theta	NODE_421	0.771811	0.0443199	13.4407	17.4145
1/delta	NODE_421	1.17914	0.103444	13.4407	11.3988
nu	NODE_421	0.841971	0.0499028	14.2059	16.8722
M	NODE_421	0.0452594	0.000138461	14.7941	326.873
R/theta	NODE_422	1.51492	0.0526592	43.5819	28.7684
1/delta	NODE_422	0.208358	0.000996121	43.582	209.169
nu	NODE_422	1.15169	0.0011651	1138.44	988.493
M	NODE_422	0.125507	0.000419404	37.5578	299.25
R/theta	NODE_423	0.652235	0.0385902	11.0238	16.9016
1/delta	NODE_423	1.07468	0.104767	11.0238	10.2578
nu	NODE_423	0.907954	0.0805878	10.2296	11.2666
M	NODE_423	0.0421071	0.000128755	13.7704	327.033
R/theta	NODE_424	0.899857	0.0338137	23.9471	26.6122
1/delta	NODE_424	1.32774	0.0736157	23.9471	18.0361
nu	NODE_424	1.27022	0.0256712	62.8511	49.4804
M	NODE_424	0.101701	0.000312016	33.1489	325.946
R/theta	NODE_425	1.41665	0.0760767	26.3799	18.6213
1/delta	NODE_425	0.990585	0.0371972	26.3799	26.6307
nu	NODE_425	0.750174	0.00818032	68.7944	91.7047
M	NODE_425	0.0529816	0.000163148	17.2056	324.746
R/theta	NODE_426	0.651661	0.0385487	11.0163	16.9049
1/delta	NODE_426	1.07424	0.104753	11.0163	10.255
nu	NODE_426	0.908499	0.0807366	10.223	11.2526
M	NODE_426	0.0421272	0.000128816	13.777	327.033
R/theta	NODE_427	0.873136	0.0481325	15.8389	18.1403
1/delta	NODE_427	1.13969	0.0820065	15.8389	13.8976
nu	NODE_427	0.677816	0.0232539	19.7573	29.1485
M	NODE_427	0.0497442	0.000152345	16.2427	326.524
R/theta	NODE_428	0.91688	0.042268	19.889	21.6921
1/delta	NODE_428	1.01326	0.051621	19.889	19.6288
nu	NODE_428	1.5124	0.026392	86.6684	57.3052
M	NODE_428	0.07163	0.00021991	23.3316	325.724
R/theta	NODE_429	1.39361	0.04312	45.0406	32.3193
1/delta	NODE_429	0.133606	0.000396322	45.0406	337.115
nu	NODE_429	1.14975	0.000711009	1859.24	1617.07
M	NODE_429	0.159081	0.000565361	44.762	281.379
R/theta	NODE_430	1.54432	0.0672553	35.4609	22.9621
1/delta	NODE_430	1.14787	0.0371567	35.461	30.8927
nu	NODE_430	1.16411	0.0103345	131.13	112.644
M	NODE_430	0.0798083	0.000246208	25.8699	324.151
R/theta	NODE_431	0.639726	0.0368089	11.1182	17.3797
1/delta	NODE_431	1.08081	0.105066	11.1182	10.287
nu	NODE_431	0.900596	0.0789309	10.2757	11.4099
M	NODE_431	0.0450244	0.000137677	14.7243	327.029
R/theta	NODE_432	1.99242	0.064879	61.1867	30.7098
1/delta	NODE_432	0.743312	0.00902995	61.1868	82.3164
nu	NODE_432	1.25283	0.00342977	457.637	365.282
M	NODE_432	0.130495	0.000411697	41.3626	316.968
R/theta	NODE_433	0.386658	0.00359163	41.6257	107.655
1/delta	NODE_433	0.209232	0.0010517	41.6257	198.946
nu	NODE_433	1.09842	0.00117069	1030.61	938.267
M	NODE_433	0.649822	0.00216119	195.387	300.678
R/theta	NODE_434	0.0471299	2.08835e-05	106.363	2256.8
1/delta	NODE_434	0.0746325	5.23684e-05	106.362	1425.14
nu	NODE_434	0.0392496	5.63715e-06	273.282	6962.67
M	NODE_434	36.3963	0.281268	4709.72	129.401
R/theta	NODE_435	1.79133	0.0909927	35.2652	19.6866
1/delta	NODE_435	0.47037	0.00627383	35.2653	74.9734
nu	NODE_435	1.73646	0.0052747	571.655	329.207
M	NODE_435	0.060833	0.000191303	19.3445	317.994
R/theta	NODE_436	0.0700204	3.74542e-05	130.903	1869.5
1/delta	NODE_436	0.0863095	5.69074e-05	130.903	1516.67
nu	NODE_436	0.0385878	5.20591e-06	286.025	7412.31
M	NODE_436	33.734	0.289271	3933.98	116.617
R/theta	NODE_437	0.367751	0.00390169	34.6621	94.2542
1/delta	NODE_437	0.136286	0.000535853	34.6621	254.334
nu	NODE_437	0.978426	0.00080836	1184.27	1210.38
M	NODE_437	0.575979	0.00196619	168.728	292.941
R/theta	NODE_438	0.851802	0.00990835	73.2278	85.9681
1/delta	NODE_438	0.28644	0.00112044	73.2278	255.648
nu	NODE_438	1.32792	0.00109128	1615.86	1216.84
M	NODE_438	0.519671	0.00177509	152.138	292.758
R/theta	NODE_439	0.83132	0.0379128	18.2285	21.9272
1/delta	NODE_439	1.34587	0.0993706	18.2285	13.544
nu	NODE_439	0.882891	0.0322089	24.2012	27.4114
M	NODE_439	0.0728741	0.000223147	23.7988	326.574
R/theta	NODE_440	0.799546	0.0485688	13.1622	16.4621
1/delta	NODE_440	1.17117	0.104211	13.1622	11.2385
nu	NODE_440	0.876998	0.0545238	14.1062	16.0847
M	NODE_440	0.039443	0.000120659	12.8938	326.896
R/theta	NODE_441	0.683217	0.0330327	14.131	20.6831
1/delta	NODE_441	1.20692	0.103082	14.131	11.7083
nu	NODE_441	0.907092	0.0493172	16.6841	18.393
M	NODE_441	0.0652199	0.000199553	21.3159	326.83
R/theta	NODE_442	0.593082	0.0272812	12.8933	21.7396
1/delta	NODE_442	1.05418	0.0861909	12.8933	12.2307
nu	NODE_442	0.933995	0.0445621	19.576	20.9594
M	NODE_442	0.0716863	0.000219387	23.424	326.757
R/theta	NODE_443	1.25965	0.0291634	54.4078	43.1928
1/delta	NODE_443	0.472889	0.00411014	54.4078	115.054
nu	NODE_443	1.6682	0.00317078	877.674	526.119
M	NODE_443	0.212314	0.000679634	66.3261	312.395
R/theta	NODE_444	0.743762	0.0427703	12.9338	17.3897
1/delta	NODE_444	1.11151	0.0955223	12.9338	11.6362
nu	NODE_444	1.4001	0.0776176	25.2555	18.0384
M	NODE_444	0.0451123	0.000138026	14.7445	326.84
R/theta	NODE_445	0.722897	0.0325411	16.0591	22.2149
1/delta	NODE_445	0.196543	0.00240543	16.0591	81.7078
nu	NODE_445	1.00638	0.00277782	364.604	362.292
M	NODE_445	0.076946	0.000242691	24.396	317.053
R/theta	NODE_446	0.428012	0.00462025	39.6502	92.6381
1/delta	NODE_446	0.193633	0.000945607	39.6503	204.771
nu	NODE_446	0.758769	0.000784756	733.643	966.886
M	NODE_446	0.551439	0.00183896	165.357	299.864
R/theta	NODE_447	0.0655815	3.80717e-05	112.969	1722.58
1/delta	NODE_447	0.071854	4.57561e-05	112.837	1570.37
nu	NODE_447	0.0275049	3.58326e-06	211.126	7675.94
M	NODE_447	33.4201	0.306263	3646.87	109.122
R/theta	NODE_448	0.0528945	2.63715e-05	106.093	2005.74
1/delta	NODE_448	0.0709026	4.73836e-05	106.095	1496.35
nu	NODE_448	0.0372195	5.08983e-06	272.168	7312.52
M	NODE_448	35.2672	0.295235	4212.83	119.455
R/theta	NODE_449	2.41157	0.0702134	82.8288	34.3464
1/delta	NODE_449	0.312142	0.00117631	82.8288	265.356
nu	NODE_449	1.53593	0.00121462	1942.23	1264.53
M	NODE_449	0.167347	0.000574284	48.7653	291.402
R/theta	NODE_450	1.41323	0.0640646	31.1752	22.0595
1/delta	NODE_450	1.23478	0.0489069	31.1753	25.2476
nu	NODE_450	1.00028	0.0117805	84.9334	84.9098
M	NODE_450	0.0740651	0.000227935	24.0666	324.939
R/theta	NODE_451	1.41427	0.0452709	44.1822	31.2402
1/delta	NODE_451	1.27922	0.0370373	44.1822	34.5385
nu	NODE_451	0.793582	0.00607851	103.606	130.555
M	NODE_451	0.130989	0.000404736	42.3936	323.641
R/theta	NODE_452	0.807458	0.050615	12.8813	15.9529
1/delta	NODE_452	1.10878	0.09544	12.8813	11.6176
nu	NODE_452	1.06548	0.0593684	19.1222	17.947
M	NODE_452	0.0363411	0.000111188	11.8778	326.843
R/theta	NODE_453	0.709976	0.0360459	13.984	19.6964
1/delta	NODE_453	1.19207	0.101618	13.984	11.7309
nu	NODE_453	0.899976	0.0486378	16.6528	18.5036
M	NODE_453	0.059197	0.000181126	19.3472	326.827
R/theta	NODE_454	1.05712	0.0490546	22.781	21.55
1/delta	NODE_454	0.811175	0.0288839	22.781	28.0839
nu	NODE_454	0.667203	0.00675002	65.9494	98.8445
M	NODE_454	0.0710249	0.000218846	23.0506	324.543
R/theta	NODE_455	0.921659	0.0517029	16.4296	17.8261
1/delta	NODE_455	1.02348	0.0637573	16.4296	16.0527
nu	NODE_455	1.09179	0.0274759	43.3838	39.7363
M	NODE_455	0.0478697	0.000146739	15.6162	326.223
R/theta	NODE_456	0.652933	0.0386406	11.033	16.8976
1/delta	NODE_456	1.0752	0.104782	11.033	10.2613
nu	NODE_456	0.907269	0.0804035	10.2376	11.2839
M	NODE_456	0.0420828	0.000128681	13.7624	327.032
R/theta	NODE_457	0.810775	0.0272571	24.1169	29.7454
1/delta	NODE_457	1.18869	0.0585895	24.1169	20.2885
nu	NODE_457	0.720066	0.0118927	43.5975	60.5466
M	NODE_457	0.121003	0.000371595	39.4025	325.632
R/theta	NODE_458	0.755531	0.0372376	15.3293	20.2895
1/delta	NODE_458	1.1717	0.0895585	15.3293	13.083
nu	NODE_458	0.853756	0.0339511	21.4691	25.1467
M	NODE_458	0.0628551	0.00019243	20.5309	326.638
R/theta	NODE_459	0.766602	0.0397621	14.7799	19.2798
1/delta	NODE_459	1.26436	0.108161	14.7799	11.6896
nu	NODE_459	1.06464	0.0581736	19.4842	18.3011
M	NODE_459	0.0566522	0.000173337	18.5158	326.833
R/theta	NODE_460	1.08536	0.0495749	23.7623	21.8934
1/delta	NODE_460	1.0552	0.0468577	23.7623	22.5193
nu	NODE_460	1.94761	0.0272372	139.266	71.5058
M	NODE_460	0.0729568	0.000224262	23.7343	325.32
R/theta	NODE_461	1.52929	0.053968	43.3353	28.3369
1/delta	NODE_461	0.882781	0.0179831	43.3353	49.0896
nu	NODE_461	0.808709	0.00400266	163.394	202.043
M	NODE_461	0.113822	0.000353915	36.6063	321.609
R/theta	NODE_462	1.02798	0.0519283	20.35	19.7961
1/delta	NODE_462	1.22094	0.0732524	20.35	16.6675
nu	NODE_462	1.29692	0.0303325	55.4525	42.757
M	NODE_462	0.0599362	0.000183776	19.5475	326.138
R/theta	NODE_463	0.0708791	6.85609e-05	73.2757	1033.81
1/delta	NODE_463	0.0428342	2.50392e-05	73.2757	1710.68
nu	NODE_463	0.0172985	2.06784e-06	144.71	8365.49
M	NODE_463	24.9033	0.278193	2229.29	89.5179
R/theta	NODE_464	1.96402	0.0639389	60.3294	30.7172
1/delta	NODE_464	1.22244	0.0247701	60.3294	49.3515
nu	NODE_464	1.33105	0.00654627	270.642	203.329
M	NODE_464	0.128612	0.000399948	41.3582	321.572
R/theta	NODE_465	1.95872	0.0785628	48.8347	24.9319
1/delta	NODE_465	0.525315	0.0056508	48.8348	92.9629
nu	NODE_465	1.11395	0.0026676	465.173	417.587
M	NODE_465	0.0945459	0.000299688	29.8274	315.481
R/theta	NODE_466	0.996525	0.0417108	23.8083	23.8913
1/delta	NODE_466	1.38143	0.0801555	23.8083	17.2344
nu	NODE_466	0.730768	0.016046	33.2808	45.5422
M	NODE_466	0.085013	0.00026073	27.7192	326.058
R/theta	NODE_467	0.746715	0.0394276	14.142	18.9389
1/delta	NODE_467	1.03947	0.0764029	14.142	13.605
nu	NODE_467	1.30502	0.0470937	36.1638	27.7112
M	NODE_467	0.0546174	0.000167248	17.8362	326.565
R/theta	NODE_468	0.790551	0.0465387	13.4291	16.987
1/delta	NODE_468	0.764081	0.0434743	13.4291	17.5755
nu	NODE_468	2.18262	0.046225	103.058	47.2174
M	NODE_468	0.0427659	0.00013118	13.9422	326.011
R/theta	NODE_469	0.690436	0.0134432	35.4604	51.3595
1/delta	NODE_469	0.274781	0.00212927	35.4604	129.05
nu	NODE_469	0.588925	0.000989996	350.338	594.877
M	NODE_469	0.266273	0.000857727	82.662	310.441
R/theta	NODE_470	0.729945	0.0360011	14.8001	20.2756
1/delta	NODE_470	0.541422	0.0198065	14.8001	27.3356
nu	NODE_470	1.45525	0.0152915	138.493	95.1675
M	NODE_470	0.0631675	0.000194573	20.5072	324.648
R/theta	NODE_471	0.883501	0.0493186	15.8272	17.9142
1/delta	NODE_471	0.71681	0.0324642	15.8272	22.08
nu	NODE_471	1.69013	0.0243718	117.207	69.3478
M	NODE_471	0.0485378	0.000149172	15.7933	325.382
R/theta	NODE_472	0.845281	0.0398188	17.9438	21.2282
1/delta	NODE_472	1.07835	0.0648048	17.9438	16.64
nu	NODE_472	0.928985	0.021796	39.595	42.6217
M	NODE_472	0.0686973	0.000210636	22.405	326.141
R/theta	NODE_473	0.518788	0.00906437	29.6921	57.2337
1/delta	NODE_473	1.40062	0.066069	29.6921	21.1993
nu	NODE_473	0.51895	0.00798121	33.7429	65.0215
M	NODE_473	0.289572	0.00088961	94.2571	325.505
R/theta	NODE_474	0.676234	0.0300119	15.237	22.5322
1/delta	NODE_474	1.11517	0.0816171	15.237	13.6634
nu	NODE_474	0.606967	0.0216788	16.994	27.9982
M	NODE_474	0.0765747	0.000234491	25.006	326.557
R/theta	NODE_475	1.25359	0.0389886	40.3065	32.1528
1/delta	NODE_475	0.230614	0.00131946	40.3065	174.779
nu	NODE_475	1.11977	0.00136634	917.694	819.538
M	NODE_475	0.145718	0.000479251	44.306	304.053
